tweet id,name,handle,text,datetime,bait
1532775077137219584,,,"Big decisions today. Should I re-sign my contract with Twitch, or should I say fuck it and sign with The United States Marine Corps? Trying to weigh benefits- would appreciate input thanks","10:23 AM · Jun 3, 2022",
1530353699427590148,,,you’re cool remember that,"6:02 PM · May 27, 2022",Tips Out
1525741703130451968,,,I think @xQc and I would put on the crackhead juice fight of a lifetime,"12:35 AM · May 15, 2022",
1522833083753545730,,,I’m pregnant,"11:57 PM · May 6, 2022",
1513067490733170691,,,EVERYTIME I USE SHAZAM ON A QUIET SONG SOMEONE IN THE RESTAURANT STARTS TALKING LOUD. JUST LET ME GET MY FUCKING MUSIC NUT BEFORE THE SONG ENDS GODDAMMIT,"1:12 AM · Apr 10, 2022",
1540943019955855360,Tectone,,"Smite is my favorite game right now, thanks to all y'all who have been enjoying the streams of that lately. Post-tourney we're still gonna play it TBH much to my surprise the community has been super warm and welcoming so thanks all who are new to my streams.","11:20 PM · Jun 25, 2022",Mizkif
1539980379666452480,,,FRICK,"7:35 AM · Jun 23, 2022",Emiru
1538665144628256769,,,"What type of beta cuck do u gotta be to like being called a ""good boy"" ?","4:28 PM · Jun 19, 2022",
1537550148582121477,,,"My kitties eggy and whooper lost their balls today, ima take the day off and make sure they are okay today :D cya tomo!","2:38 PM · Jun 16, 2022",
1536405173781909504,,,Nice cock,"10:48 AM · Jun 13, 2022",
1534995379279699968,,,Vtubers make me happy :D,"1:26 PM · Jun 9, 2022",
1533917639214505987,,,"Guys please stop flooding my posts with hentai, I'm on a plane.","2:03 PM · Jun 6, 2022",
1545963295063941121,Emiru,emiru,i just destroyed doublelift lol,"7:49 PM · Jul 9, 2022",
1540459797740388353,,,egg,"3:20 PM · Jun 24, 2022",Mizkif
1507841781051842567,,,@nmplol you have a very charming smile and i like your posture keep up the good work! #ad,"3:07 PM · Mar 26, 2022",
1505000472918245379,,,"Couldn't have asked for this tournament to go better ❤️ Incredible performance from the players, casters and production. So proud of everybody!! :D
Congrats to our first OTK RIFT champions! 
@Thebuddha_3 @xQc @Sykkuno @blaustoise @Harryo_","6:57 PM · Mar 18, 2022",
1488625369485910018,,,FUCK YOU RIOT,"1:28 PM · Feb 1, 2022",
1487679043013128196,,,reallly really really really really really big boobs,"10:48 PM · Jan 29, 2022",
1477830138989580290,,,"I‘m joining 
@OTKnetwork! 👑","6:32 PM · Jan 2, 2022",Bruce
1540362267270823936,Bruce,raycondones,Women Are Smarter,"8:52 AM · Jun 24, 2022",Emiru
1536818646668005378,,,"I like franks and im tired of acting like i don’t. Social media makes them seem like some sort of forbidden food, but in reality they’re just little morsels of flavor filled cylindrical meat sticks. Rate the eats.","2:11 PM · Jun 14, 2022",
1536457871713611782,,,Yo Stream?,"2:17 PM · Jun 13, 2022",Mizkif
1525215408856485888,,,Bro GENES ARE CRAZY I DEAD ASS GOT MY MOM AN DAD FEATURES,"1:44 PM · May 13, 2022",
1523454247060533249,,,"yo 2,000 likes an 2,000 replies in 2 minutes for stream","5:06 PM · May 8, 2022",
1510309770170978307,,,You ever take a shit so bad you start shaking?,"10:34 AM · Apr 2, 2022",
1508269913592455170,,,Will Smith just like me,"7:29 PM · Mar 27, 2022",
